172.18.0.1 - - [14/Jul/2025:15:33:07 +0000] "GET /api/docs HTTP/1.1" 502 497 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) discord/1.0.9199 Chrome/134.0.6998.205 Electron/35.3.0 Safari/537.36" "-"
172.18.0.1 - - [14/Jul/2025:15:33:07 +0000] "GET /api/docs HTTP/1.1" 502 497 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Postman/11.54.0 Electron/32.3.3 Safari/537.36" "-"
172.18.0.1 - - [14/Jul/2025:15:36:57 +0000] "GET /wpad.dat HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0" "-"
172.18.0.1 - - [14/Jul/2025:15:37:05 +0000] "GET /wpad.dat HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) discord/1.0.9199 Chrome/134.0.6998.205 Electron/35.3.0 Safari/537.36" "-"
172.18.0.1 - - [14/Jul/2025:15:37:08 +0000] "GET /api/docs HTTP/1.1" 502 497 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) discord/1.0.9199 Chrome/134.0.6998.205 Electron/35.3.0 Safari/537.36" "-"
172.18.0.1 - - [14/Jul/2025:15:37:11 +0000] "GET /api/docs HTTP/1.1" 502 497 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0" "-"
172.18.0.1 - - [14/Jul/2025:15:37:18 +0000] "GET /wpad.dat HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0" "-"
172.18.0.1 - - [14/Jul/2025:15:37:21 +0000] "GET /api/docs HTTP/1.1" 502 497 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0" "-"
172.18.0.1 - - [14/Jul/2025:15:46:32 +0000] "GET /wpad.dat HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0" "-"
172.18.0.1 - - [14/Jul/2025:15:46:35 +0000] "GET /api/docs HTTP/1.1" 502 497 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0" "-"
172.18.0.1 - - [14/Jul/2025:15:46:44 +0000] "GET /wpad.dat HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0" "-"
172.18.0.1 - - [14/Jul/2025:15:46:47 +0000] "GET /api/docs HTTP/1.1" 502 497 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0" "-"
172.18.0.1 - - [14/Jul/2025:15:48:55 +0000] "GET /wpad.dat HTTP/1.1" 301 169 "-" "WinHttp-Autoproxy-Service/5.1" "-"
172.18.0.1 - - [14/Jul/2025:15:48:55 +0000] "GET /api/docs HTTP/1.1" 502 497 "-" "WinHttp-Autoproxy-Service/5.1" "-"
172.18.0.1 - - [14/Jul/2025:16:19:00 +0000] "GET /wpad.dat HTTP/1.1" 301 169 "-" "WinHttp-Autoproxy-Service/5.1" "-"
172.18.0.1 - - [14/Jul/2025:16:19:03 +0000] "GET /api/docs HTTP/1.1" 502 497 "-" "WinHttp-Autoproxy-Service/5.1" "-"
172.18.0.1 - - [14/Jul/2025:16:29:04 +0000] "GET /wpad.dat HTTP/1.1" 301 169 "-" "WinHttp-Autoproxy-Service/5.1" "-"
172.18.0.1 - - [14/Jul/2025:16:29:04 +0000] "GET /api/docs HTTP/1.1" 502 497 "-" "WinHttp-Autoproxy-Service/5.1" "-"
172.18.0.1 - - [14/Jul/2025:16:34:25 +0000] "GET /wpad.dat HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.6998.178 Spotify/1.2.67.560 Safari/537.36" "-"
172.18.0.1 - - [14/Jul/2025:16:34:28 +0000] "GET /api/docs HTTP/1.1" 502 497 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.6998.178 Spotify/1.2.67.560 Safari/537.36" "-"
172.18.0.1 - - [14/Jul/2025:16:34:36 +0000] "GET /wpad.dat HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.6998.178 Spotify/1.2.67.560 Safari/537.36" "-"
172.18.0.1 - - [14/Jul/2025:16:34:36 +0000] "GET /api/docs HTTP/1.1" 502 497 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.6998.178 Spotify/1.2.67.560 Safari/537.36" "-"
172.18.0.1 - - [14/Jul/2025:16:35:28 +0000] "GET /wpad.dat HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) discord/1.0.9199 Chrome/134.0.6998.205 Electron/35.3.0 Safari/537.36" "-"
172.18.0.1 - - [14/Jul/2025:16:35:30 +0000] "GET /wpad.dat HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Postman/11.54.0 Electron/32.3.3 Safari/537.36" "-"
172.18.0.1 - - [14/Jul/2025:16:35:32 +0000] "GET /wpad.dat HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/1.2.4 Chrome/132.0.6834.210 Electron/34.5.1 Safari/537.36" "-"
172.18.0.1 - - [14/Jul/2025:16:35:37 +0000] "GET /api/docs HTTP/1.1" 502 497 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/1.2.4 Chrome/132.0.6834.210 Electron/34.5.1 Safari/537.36" "-"
172.18.0.1 - - [14/Jul/2025:16:35:37 +0000] "GET /api/docs HTTP/1.1" 502 497 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Postman/11.54.0 Electron/32.3.3 Safari/537.36" "-"
172.18.0.1 - - [14/Jul/2025:16:35:37 +0000] "GET /api/docs HTTP/1.1" 502 497 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) discord/1.0.9199 Chrome/134.0.6998.205 Electron/35.3.0 Safari/537.36" "-"
172.18.0.1 - - [14/Jul/2025:16:35:37 +0000] "GET /wpad.dat HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.6998.178 Spotify/1.2.67.560 Safari/537.36" "-"
172.18.0.1 - - [14/Jul/2025:16:35:40 +0000] "GET /api/docs HTTP/1.1" 502 497 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.6998.178 Spotify/1.2.67.560 Safari/537.36" "-"
172.18.0.1 - - [14/Jul/2025:16:35:46 +0000] "GET /wpad.dat HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/1.2.4 Chrome/132.0.6834.210 Electron/34.5.1 Safari/537.36" "-"
